i,j,log_odds
WBC,COPD,0.264737135997925
WBC,Ulc,0.303340036053984
WBC,Coag,1.55016201837334
WBC,Coma,0.35013367173313
WBC,CIj,0.443763473880567
WBC,Art,0.285586848128856
WBC,Hea,0.487679244898205
WBC,Uri,0.54634552525819
WBC,Vei,0.0916278769217293
WBC,Lip,0.0968663215163304
WBC,Jaw,0.0436792214522077
WBC,Ep,0.346505551279136
WBC,Ele,1.47934443974821
WBC,Fr,0.145774443484634
WBC,GIH,0.338357811107022
WBC,HTN,0.0589150210406354
WBC,ArI,0.797553061640303
WBC,IIn,1.10103563798961
WBC,Liv,0.681530305782937
WBC,LGI,0.647714118152914
WBC,Gas,0.965419671123933
WBC,Ost,0.285089893419824
WBC,GIO,0.463078974070474
WBC,HeO,1.23677609300001
WBC,InO,0.527088000073932
WBC,IjO,0.265233566669471
WBC,LRO,0.084688725343749
WBC,Pan,1.23545572340054
WBC,Par,0.475889280611553
WBC,Ple,0.955997023017145
WBC,Poi,0.846509021028258
WBC,RF,0.639426340584127
WBC,RIn,0.332213155530204
WBC,SIn,0.554231616562682
WBC,Spi,0.373834660109954
WBC,SuIj,0.10250649575595
WBC,Lup,0.942746175291317
WBC,UGI,0.144941421775163
WBC,Vir,0.355896852961561
WBC,Neo,0.195736068638316
Lip,Ast,0.129423035225268
Lip,Art,0.200425359427194
Lip,Hea,0.117528333372263
Lip,Jaw,0.0860963704121287
Lip,Ear,0.149177146941577
Lip,Gou,0.257232529726195
Lip,HA,0.0988945619541875
Lip,HTN,0.8834498032662
Lip,TJ,0.147250076653935
Lip,Liv,0.556990284934815
Lip,Myc,0.0655881680645194
Lip,NTJ,0.307753908297706
Lip,Nut,0.132479084032023
Lip,NuO,0.681506205108866
Lip,URO,0.129765897077386
Lip,RIn,0.127312451953531
Lip,Bac,0.31055840393119
Lip,Bac,0.31055840393119
Lip,Spr,0.0303279175727886
Lip,Thy,0.287338421159374
Lip,UGI,0.334103073512379
Lip,DM,1.12887039320358
Jaw,Her,0.111868295353456
Jaw,Def,0.172015400985163
Jaw,Ast,0.134259645521844
Jaw,Bac,0.0661123823681506
Jaw,Bac,0.0661123823681506
Jaw,Bur,0.724978360545602
Jaw,CVD,0.357740011299155
Jaw,COPD,0.346658632618529
Jaw,Coma,0.23352246106657
Jaw,CIj,0.722399568001561
Jaw,Mou,0.650742395130608
Jaw,Hea,0.0703002545898219
Jaw,Vei,0.0934334946409669
Jaw,Ear,0.251441271451427
Jaw,Ep,0.527480966590424
Jaw,Eye,0.356572696516713
Jaw,Fr,0.433496022820433
Jaw,GIH,0.243224856274453
Jaw,HA,0.35273574494939
Jaw,ArI,0.427714214002874
Jaw,BIj,0.304877049529512
Jaw,TJ,0.326947866374954
Jaw,Myc,0.274355558164373
Jaw,NTJ,0.0179594184457476
Jaw,Gas,0.244510886988297
Jaw,Wou,0.327177189761587
Jaw,Bone,0.176279887762446
Jaw,GIO,0.114017548005652
Jaw,InO,0.334654025511626
Jaw,SInf,0.0601118061652232
Jaw,IjO,0.530514084979741
Jaw,NSO,0.280002023922011
Jaw,SkO,0.191222208348376
Jaw,Par,0.786727827705419
